"vol" "age" "owner" "nuts" "species" "step0.nomgmt" "step0.finalfell" "step1.nomgmt" "step1.finalfell" "step2.nomgmt" "step2.finalfell" "step3.nomgmt" "step3.finalfell" "step4.nomgmt" "step4.finalfell" "step5.nomgmt" "step5.finalfell"
"13521" "7" "13" "communal" "DE1" "beech" 854.33045134352 94.9256057048356 478.357209961855 53.1508011068728 813.652973186106 90.4058859095673 1434.18854750661 159.35428305629 1749.74554592131 194.416171769034 949.033075444407 105.448119493823
"15393" "8" "13" "communal" "DE1" "beech" 236.190664633962 26.2434071815513 293.174231452971 32.5749146058857 1007.88664497477 111.987404997197 1015.83475930241 112.870528811379 833.25813777226 92.5842375302511 2784.20000067276 309.355555630307
"17265" "9" "13" "communal" "DE1" "beech" 332.277613240994 36.9197348045549 173.585835768047 19.2873150853385 715.609051704558 79.512116856062 621.924387916501 69.1027097685001 600.555697832647 66.7284108702941 987.387146584881 109.709682953876
"2289" "10" "13" "communal" "DE1" "beech" 849.035506824481 94.3372785360534 756.44154531766 84.0490605908511 630.547466715542 70.0608296350602 703.208575168608 78.1342861298453 756.118230912428 84.0131367680475 413.527638338289 45.947515370921
"521" "1" "14" "communal" "DE1" "beech" 0 0 0 0 0 0 0 0 0 0 0 0
"4265" "2" "14" "communal" "DE1" "beech" 0 0 162.039114232157 18.0043460257953 162.039123890441 18.0043470989379 195.267418432295 21.6963798258105 37.8278880315075 4.2030986701675 444.871674319792 49.4301860355324
"6137" "3" "14" "communal" "DE1" "beech" 158.570259494342 17.6189177215936 312.227910177945 34.6919900197717 307.077857288055 34.119761920895 870.620977290418 96.7356641433798 150.498783394887 16.7220870438764 790.720060718377 87.8577845242641
"8009" "4" "14" "communal" "DE1" "beech" 810.715397435814 90.0794886039793 353.78864644142 39.3098496046022 795.052049723008 88.3391166358898 832.993892223727 92.5548769137474 1202.55416848341 133.61712983149 1366.78794662618 151.865327402909
"9881" "5" "14" "communal" "DE1" "beech" 1110.70960670137 123.412178522374 1191.65381605747 132.405979561941 1061.21504916305 117.912783240339 1005.83262901777 111.759181001975 1497.83399562289 166.425999513655 2002.87980960131 222.542201066812
"11753" "6" "14" "communal" "DE1" "beech" 1267.49992496904 140.83332499656 525.747392245125 58.416376916125 711.225395106864 79.0250439007626 1440.87127922777 160.096808803086 1751.35815637431 194.595350708256 1805.04724997758 200.560805553065
"13625" "7" "14" "communal" "DE1" "beech" 1048.08405478018 116.453783864464 768.897406209168 85.433045134352 430.52148896567 47.8357209961855 732.287675867495 81.3652973186106 1290.76969275595 143.418854750661 1574.77099132918 174.974554592131
"15497" "8" "14" "communal" "DE1" "beech" 828.74775744804 92.0830841608933 212.571598170566 23.6190664633962 263.856808307674 29.3174231452971 907.097980477296 100.788664497477 914.25128337217 101.583475930241 749.932323995034 83.325813777226
"17369" "9" "14" "communal" "DE1" "beech" 310.223737002 34.4693041113333 299.049851916895 33.2277613240994 156.227252191242 17.3585835768047 644.048146534102 71.5609051704558 559.731949124851 62.1924387916501 540.500128049382 60.0555697832647
"2393" "10" "14" "communal" "DE1" "beech" 774.916893249796 86.1018770277551 764.131956142033 84.9035506824481 680.797390785894 75.644154531766 567.492720043988 63.0547466715542 632.887717651747 70.3208575168608 680.506407821185 75.6118230912428
"625" "1" "15" "communal" "DE1" "beech" 0 0 0 0 0 0 0 0 0 0 0 0
"4369" "2" "15" "communal" "DE1" "beech" 140.033802422852 60.0144867526509 0 0 113.42737996251 48.6117342696472 113.427386723309 48.6117371671323 136.687192902606 58.5802255296883 26.4795216220552 11.3483664094522
"6241" "3" "15" "communal" "DE1" "beech" 263.881735287489 113.092172266067 110.99918164604 47.5710778483027 218.559537124562 93.6683730533836 214.954500101638 92.1233571864165 609.434684103293 261.186293187126 105.349148376421 45.1496350184662
"8113" "4" "15" "communal" "DE1" "beech" 288.492456237188 123.639624101652 567.50077820507 243.214619230744 247.652052508994 106.136593932426 556.536434806105 238.515614916902 583.095724556609 249.898167667118 841.787917938384 360.766250545022
"9985" "5" "15" "communal" "DE1" "beech" 458.03247654984 196.299632807074 777.496724690956 333.21288201041 834.157671240226 357.49614481724 742.850534414138 318.364514748916 704.082840312441 301.749788705332 1048.48379693602 449.350198686867
