vol age owner nuts species area
1 6 private DE1 spruce 100.024132663944
1 6 private DE2 beech 0
1 6 private DE2 spruce 954.442023284003
1 6 private DE3_4 beech 0
1 6 private DE3_4 spruce 0
1 6 private DE7 beech 0
1 6 private DE7 spruce 0
1 6 private DE8 beech 0
1 6 private DE8 spruce 0
1 6 private DE9_5_6 beech 0
1 6 private DE9_5_6 spruce 0
1 6 private DEA beech 0
1 6 private DEA spruce 0
1 6 private DEB beech 0
1 6 private DEB spruce 0
1 6 private DEC beech 0
1 6 private DEC spruce 0
1 6 private DED beech 0
1 6 private DED spruce 0
1 6 private DEE beech 0
1 6 private DEE spruce 0
1 6 private DEF beech 0
1 6 private DEF spruce 0
1 6 private DEG beech 0
1 6 private DEG spruce 0
1 7 communal DE1 beech 100.024144587751
1 7 communal DE1 spruce 100.024144587751
1 7 communal DE2 beech 0
1 7 communal DE2 spruce 0
1 7 communal DE3_4 beech 0
1 7 communal DE3_4 spruce 0
1 7 communal DE7 beech 0
1 7 communal DE7 spruce 0
1 7 communal DE8 beech 0
1 7 communal DE8 spruce 0
1 7 communal DE9_5_6 beech 0
1 7 communal DE9_5_6 spruce 0
1 7 communal DEA beech 0
1 7 communal DEA spruce 0
1 7 communal DEB beech 0
1 7 communal DEB spruce 298.733506939641
1 7 communal DEC beech 0
1 7 communal DEC spruce 0
1 7 communal DED beech 0
1 7 communal DED spruce 0
1 7 communal DEE beech 0
1 7 communal DEE spruce 0
1 7 communal DEF beech 0
1 7 communal DEF spruce 0
1 7 communal DEG beech 0
1 7 communal DEG spruce 0
1 7 land DE1 beech 0
1 7 land DE1 spruce 0
1 7 land DE2 beech 0
1 7 land DE2 spruce 799.2066504856
1 7 land DE3_4 beech 0
1 7 land DE3_4 spruce 0
1 7 land DE7 beech 0
1 7 land DE7 spruce 0
1 7 land DE8 beech 0
1 7 land DE8 spruce 99.9742729334978
1 7 land DE9_5_6 beech 0
1 7 land DE9_5_6 spruce 0
1 7 land DEA beech 0
1 7 land DEA spruce 0
1 7 land DEB beech 99.577843560283
1 7 land DEB spruce 99.577855430887
1 7 land DEC beech 0
1 7 land DEC spruce 0
1 7 land DED beech 0
1 7 land DED spruce 199.445623916811
1 7 land DEE beech 0
1 7 land DEE spruce 0
1 7 land DEF beech 0
1 7 land DEF spruce 99.5505050505051
1 7 land DEG beech 0
1 7 land DEG spruce 200.194405789034
1 7 national DE1 beech 0
1 7 national DE1 spruce 0
1 7 national DE2 beech 0
1 7 national DE2 spruce 0
1 7 national DE3_4 beech 0
1 7 national DE3_4 spruce 0
1 7 national DE7 beech 0
1 7 national DE7 spruce 0
1 7 national DE8 beech 0
1 7 national DE8 spruce 0
1 7 national DE9_5_6 beech 0
1 7 national DE9_5_6 spruce 0
1 7 national DEA beech 0
1 7 national DEA spruce 0
1 7 national DEB beech 99.577843560283
1 7 national DEB spruce 0
1 7 national DEC beech 0
1 7 national DEC spruce 0
1 7 national DED beech 0
1 7 national DED spruce 0
1 7 national DEE beech 0
1 7 national DEE spruce 0
1 7 national DEF beech 0
1 7 national DEF spruce 0
1 7 national DEG beech 0
1 7 national DEG spruce 0
1 7 private DE1 beech 0
1 7 private DE1 spruce 200.048289175503
1 7 private DE2 beech 0
1 7 private DE2 spruce 399.763161314276
1 7 private DE3_4 beech 0
1 7 private DE3_4 spruce 0
1 7 private DE7 beech 0
1 7 private DE7 spruce 0
1 7 private DE8 beech 0
1 7 private DE8 spruce 0
1 7 private DE9_5_6 beech 0
1 7 private DE9_5_6 spruce 0
1 7 private DEA beech 0
1 7 private DEA spruce 398.361893629456
1 7 private DEB beech 0
1 7 private DEB spruce 0
1 7 private DEC beech 0
1 7 private DEC spruce 0
1 7 private DED beech 0
1 7 private DED spruce 0
1 7 private DEE beech 0
1 7 private DEE spruce 0
1 7 private DEF beech 0
1 7 private DEF spruce 0
1 7 private DEG beech 0
1 7 private DEG spruce 200.194381924001
1 8 communal DE1 beech 0
1 8 communal DE1 spruce 58.2685456660686
1 8 communal DE2 beech 0
1 8 communal DE2 spruce 0
1 8 communal DE3_4 beech 0
1 8 communal DE3_4 spruce 0
1 8 communal DE7 beech 0
