"vol" "age" "siteclass" "species" "step0.nomgmt" "step0.finalfell" "step0.thin" "step1.nomgmt" "step1.finalfell" "step1.thin" "step2.nomgmt" "step2.finalfell" "step2.thin" "step3.nomgmt" "step3.finalfell" "step3.thin" "step4.nomgmt" "step4.finalfell" "step4.thin" "step5.nomgmt" "step5.finalfell" "step5.thin" "step6.nomgmt" "step6.finalfell" "step6.thin"
"1779" "4" "8" "I" "manty" 605.655260914958 3.26091962773029 17.8046211674074 74.1877364299672 0.399435555956197 2.18091813552083 172.689424067078 0.929780303717767 5.076600458299 8.44910996834015 0.0454910083518299 0.248380905600991 8.24557619942517 0.0443951584438176 0.242397565103244 26.4131206471284 0.142211368588975 0.776474072495804 110.822193609147 0.596679810528281 3.25787176548441
"2079" "5" "8" "I" "manty" 2292.75896556847 0 168.322561239999 598.290317126564 0 43.9233953748232 365.538758059026 0 26.8359740003146 77.234181447237 0 5.67013603771927 57.1225622187785 0 4.19364447883515 118.284237164161 0 8.68381982266265 360.938847522628 0 26.4982722468425
"2379" "6" "8" "I" "manty" 8850.10930704352 0 2069.36062387638 4204.93140376819 0 983.210395620073 2116.3072492212 0 494.841672303083 1037.60594869151 0 242.616313406801 687.934611349734 0 160.855052422444 863.395235503393 0 201.881811987479 1448.21681180902 0 338.626647561093
"2679" "7" "8" "I" "manty" 19281.2750523622 48.1369473071614 10743.8337032998 19093.4389322713 47.668002313086 10639.1684240458 12749.5221966272 31.8300048364976 7104.23692961692 8822.80108471981 22.0266922059541 4916.20535437099 6091.57845007168 15.208018664337 3394.32458073653 5995.66324892869 14.9685601756822 3340.87910226582 5560.47958501317 13.8820960781602 3098.38783014799
"2979" "8" "8" "I" "manty" 17841.1441042648 107.295790860385 28785.9278908289 24455.8095017739 147.076073501166 39458.4094335986 23611.6772867375 141.999502566379 38096.437974237 22163.9098468646 133.292698140875 35760.5267297946 17019.7365154229 102.355884745146 27460.6216501977 14607.5404186677 87.8490523133729 23568.6457492163 8378.84673839651 50.3899851960338 13518.9131711645
"3279" "9" "8" "I" "manty" 8668.69719953013 0 38268.022136001 11945.7901213268 0 52734.7708972617 15036.8385529669 0 66380.2250044677 16749.9666699169 0 73942.8406077446 14172.3923582162 0 62564.1214591859 11274.9703850567 0 49773.432656235 4820.46018324607 0 21279.9539252762
"579" "10" "8" "I" "manty" 813.215817212865 0 18626.200857135 1137.871871929 0 26062.2452092394 1395.06405812336 0 31953.0717494319 1762.19917128187 0 40362.0724287774 1699.90494924042 0 38935.2621437048 1283.0558363338 0 29387.59332102 411.248475703118 0 9419.38972226341
"879" "11" "8" "I" "manty" 7.66484546798362e-13 411.089119641945 6492.78991905073 1.64523391406237e-12 882.389298208376 13936.5603864088 2.19421447176171e-12 1176.82437208931 18586.9025827046 2.9364195725198e-12 1574.89168178116 24874.024503426 2.92119789585753e-12 1566.72783074893 24745.0836797699 2.1676903272308e-12 1162.59866164281 18362.2200382997 6.38751519361121e-13 342.581987935624 5410.78022121853
"291" "1" "9" "I" "manty" 0 0 0 0 0 0 0 0 0 0.0161127049096412 0 0 8.30315020722227e-05 0 0 0.00040942348234106 0 0 0.00326138579378102 0 0
"1191" "2" "9" "I" "manty" 0 0 0 0 0 0 0.00569551391463315 0.000152019360186197 0.000141160834458612 0.401464433215238 0.0107155152615979 0.00995012131434091 0.00300281363986996 8.01483088503381e-05 7.44234296467425e-05 0.00915733627380213 0.000244419102862102 0.000226960595514809 0.0625883494662049 0.00167055001244351 0.00155122501155469
"1491" "3" "9" "I" "manty" 0 0 0 2.06560369502791 0.0468089858509334 0 0.688846778125613 0.015610070396542 0 9.2978425312424 0.210699942363945 0 0.135309629258871 0.00306627381463314 0 0.218743672134845 0.00495698641447426 0 1.05301927757917 0.0238626434410485 0
"1791" "4" "9" "I" "manty" 270.925771907917 4.14205524311537 5.92894797756909 38.5552505219425 0.589452883900307 0.843744295704857 6.85604063217226 0.104818743700592 0.1500378053885 30.1571215115647 0.46105788458065 0.659959380520166 0.940923961700334 0.0143853388383383 0.0205912090993897 1.04774437273442 0.0160184652865149 0.0229288702805449 3.86569474342421 0.0591007679613659 0.0845969834081133
"2091" "5" "9" "I" "manty" 1151.48413613514 6.73450049540974 101.690957480687 662.446088992586 3.87434214202602 58.5025663445928 173.185079667987 1.01287978550557 15.2944847611341 164.55923469936 0.962431190174052 14.5327109716282 30.9822063005038 0.181200658464948 2.73612994282071 22.4748281362369 0.131444920922447 1.98481830592895 41.0524230589348 0.240096719314003 3.62546046164144
"2391" "6" "9" "I" "manty" 3415.16926163725 35.9319222203758 406.335733266443 3536.71396762499 37.2107270429971 420.797083041096 1623.68834838259 17.0832655644845 193.185914106033 988.708600769066 10.4024713915407 117.636229276594 474.689684521057 4.99433893793257 56.4784250082559 325.699296782753 3.42677065253817 38.7515969030298 393.362808681435 4.13867681602224 46.8021796461974
"2691" "7" "9" "I" "manty" 13420.8319118208 0 3184.78802657259 9790.72538060923 0 2323.35708907588 7559.46305505664 0 1793.87444707189 4983.3459937687 0 1182.55714381195 3408.62017238463 0 808.87181833958 2397.94148281395 0 569.03591171283 2385.2791665718 0 566.031120845793
"2991" "8" "9" "I" "manty" 18336.1803173989 0 9341.49750840306 29772.260833137 0 15167.6900847432 34430.0692699513 0 17540.6437290653 30183.6698004797 0 15377.2853099668 26795.6734783874 0 13651.2464810798 20428.40008229 0 10407.3937519198 17864.7801460243 0 9101.33933750098
"3291" "9" "9" "I" "manty" 14546.1349498056 153.4027795656 19897.4749996679 23358.4955637434 246.337474409095 31951.7922192555 30996.7305773499 326.889901985617 42400.0378012791 34461.0383353068 363.424310691097 47138.8208005407 36080.4600846428 380.502647891622 49354.0074382641 29766.6144923096 313.917161990786 40717.3774840718 24237.6197024166 255.608671666721 33154.335068694
"591" "10" "9" "I" "manty" 3674.17382938923 231.638502688601 17501.0565561587 4891.58744942702 308.390415143744 23299.9179072725 6837.07351424781 431.043697210025 32566.7798552025 8181.25194801404 515.787504716726 38969.455363569 9653.50340438113 608.605683379404 45982.1763722129 8815.32983348699 555.762981871362 41989.7351461716 6818.39582909475 429.866161463639 32477.813127067
"891" "11" "9" "I" "manty" 0 0 8862.66256915528 0 0 17652.9179671089 0 0 28460.2774514568 0 0 35458.9199888469 0 0 43432.2908845861 0 0 40647.6112424158 0 0 31034.1816976555
"15" "1" "10" "I" "manty" 0 0 0 0 0 0 0 0 0 2.82321668917223e-05 0 0 0.00521256524479642 0 0 3.1490986343793e-05 0 0 0.000127276815571174 0 0
"915" "2" "10" "I" "manty" 0 0 0 0 0 0 0 0 0 0.000601854059589535 1.60641287925217e-05 1.49166910216273e-05 0.0424233883953149 0.00113232562635249 0.00105144522447017 0.000317312117296963 8.46939991260101e-06 7.86444277598665e-06 0.000967670361976335 2.58281573012825e-05 2.39832889226194e-05
"1215" "3" "10" "I" "manty" 0 0 0 1.39141639823898 0.0315311163775998 0 0.682771128673144 0.0154723891027195 0 0.199456648242025 0.00451991998654388 0 2.53177831111116 0.0573730456755894 0 0.038015278498372 0.000861470492927998 0 0.0611937236160379 0.0013867210587413 0
"1515" "4" "10" "I" "manty" 0 0 0 30.6851124931327 0.469130087524357 0.671513951502088 8.49285254477368 0.129843182375584 0.185857847943099 2.00476350495113 0.0306498755301563 0.0438723065896595 7.24007343560837 0.110690038541976 0.158441991144688 0.339776226819274 0.00519467709502761 0.00743567346376663 0.324521767688174 0.00496145892615462 0.00710184440801703
