"vol" "age" "siteclass" "species" "step0.nomgmt" "step0.finalfell" "step0.thin" "step1.nomgmt" "step1.finalfell" "step1.thin" "step2.nomgmt" "step2.finalfell" "step2.thin" "step3.nomgmt" "step3.finalfell" "step3.thin" "step4.nomgmt" "step4.finalfell" "step4.thin"
"2145" "13" "12" "SE11" "BT" 17.9392 0 10.0908 12.1189262222222 0 6.816896 121.146962589281 0 68.1451664564706 0 0 0 0.39375849841392 0 0.22148915535783
"2657" "14" "12" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3169" "15" "12" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3681" "16" "12" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4193" "17" "12" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"129" "1" "13" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4737" "2" "13" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5249" "3" "13" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5761" "4" "13" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6273" "5" "13" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6785" "6" "13" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0.987746254848 0 0.311919869952
"7297" "7" "13" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 9.94449842569998 0 3.49401296038107
"7809" "8" "13" "SE11" "BT" 0 0 0 0 0 0 0 0 0 6.1914650112 0 2.4077919488 29.9209622508273 0 11.6359297642106
"8321" "9" "13" "SE11" "BT" 0 0 0 0 0 0 0 0 0 32.1790802315294 0 13.7910343849412 27.2581786634541 0 11.6820765700518
"641" "10" "13" "SE11" "BT" 0 0 0 0 0 0 1.95178496 0 0.91848704 57.6461093248 0 27.1275808587294 0.49349205248 0 0.232231554108235
"1153" "11" "13" "SE11" "BT" 0 0 0 0 0 0 4.05351173333333 0 2.08817271111111 41.1001026773333 0 21.1727801671111 0 0 0
"1665" "12" "13" "SE11" "BT" 0 0 0 6.458112 0 3.632688 4.41543509333333 0 2.48368224 44.1389393960157 0 24.8281534102588 0 0 0
