"vol" "age" "ownership" "step0.nomgmt" "step0.thin" "step0.finalfell" "step1.nomgmt" "step1.thin" "step1.finalfell" "step2.nomgmt" "step2.thin" "step2.finalfell" "step3.nomgmt" "step3.thin" "step3.finalfell" "step4.nomgmt" "step4.thin" "step4.finalfell" "step5.nomgmt" "step5.thin" "step5.finalfell"
"600" "8" "12" "pub" 143.52694442278 51.45305557722 0 146.441275295798 52.497815702107 0 328.58818084195 117.795763010719 0 176.518932038467 63.2803718990429 0 273.436062635779 98.0242489254995 0 286.538108002341 102.721208587897 0
"674" "9" "12" "pub" 0 0 0 33.6325979696109 12.056969090342 0 0 0 0 94.5259293691091 33.886653944158 0 125.205711782607 44.8850665137785 0 99.4290351536175 35.6443711131947 0
"82" "10" "12" "pub" 524.95763880965 188.19236119035 0 262.136846442788 93.9735865143745 0 0 0 0 196.896488887077 70.5855337923457 0 282.753676656734 101.364525651904 0 127.362194695663 45.6581452943728 0
"10" "1" "13" "pub" 0 0 0 239.808730293372 65.4023808781157 0 255.884113695032 69.7865763438556 0 253.236033180538 69.0643725684011 0 72.9230801747136 19.8881127411724 0 167.678932928418 45.7306179937834 0
"158" "2" "13" "pub" 638.66000023224 174.17999976776 0 476.501105642191 129.954846772795 0 338.827922759743 92.4076151412987 0 423.015133668895 115.367763532105 0 127.879114254778 34.8761220103013 0 263.668864822612 71.9096902841383 0
"232" "3" "13" "pub" 885.79857175068 241.58142824932 0 467.369790865321 127.464488201512 0 242.537700415268 66.1466454555516 0 452.519243323791 123.414338878876 0 151.440051816471 41.301832243495 0 267.265289208874 72.890533296909 0
"306" "4" "13" "pub" 875.78857174704 238.85142825296 0 318.126095023603 86.7616621319325 0 185.702082802536 50.6460224965651 0 467.857264764198 127.597435628252 0 176.082432144714 48.0224814125203 0 269.589597940875 73.5244356772882 0
"380" "5" "13" "pub" 738.54000026856 201.41999973144 0 129.456629981675 35.3063535714522 0 158.839300401857 43.319809126994 0 457.068065066438 124.654926624766 0 202.593979968053 55.2529035338883 0 266.659371231179 72.7252829396362 0
"454" "6" "13" "pub" 318.4500001158 86.8499998842 0 243.176416290399 66.3208406939281 0 147.074442770014 40.1112115964818 0 468.510578555516 127.775612116491 0 230.871950075859 62.9650771865661 0 288.868525970578 78.7823251310119 0
"528" "7" "13" "pub" 356.62000012968 97.25999987032 0 461.756990709152 125.933724525154 0 205.009273053931 55.9116198289191 0 721.162996292048 196.680816836797 0 344.712138676929 94.0124012978081 0 458.631804887752 125.081401120764 0
"602" "8" "13" "pub" 189.83642864046 51.77357135954 0 185.282254026162 50.5315237395664 0 194.435753791308 53.0279327621881 0 509.545544116354 138.966966341365 0 250.184800596038 68.2322182285859 0 379.450291912069 103.486443073133 0
"676" "9" "13" "pub" 159.6178572009 43.5321427991 0 215.528129098674 58.7803987453443 0 174.982603083085 47.7225280325848 0 154.905856738963 42.247051766207 0 228.921640244768 62.4331745062622 0 328.085147559782 89.4777673644631 0
"84" "10" "13" "pub" 0 0 0 412.46671635757 112.49092245208 0 205.964665137087 56.1721813057011 0 0 0 0 154.704384181817 42.1921047052604 0 222.163603168221 60.5900734885134 0
"12" "1" "14" "pub" 0 0 0 103.522075309021 27.1129245167994 0 258.636371169456 67.7380972887563 0 248.480502076232 65.078226808908 0 260.123534510762 68.1275924500212 0 75.8896305512688 19.8758556433717 0
"160" "2" "14" "pub" 369.8773584025 96.8726415975 0 401.638837953948 105.191124346708 0 338.114357441085 88.5537603837766 0 251.733803846588 65.9302820354551 0 314.612887950546 82.3986136053839 0 95.8586065879503 25.1058255637404 0
"234" "3" "14" "pub" 1337.3671694929 350.2628305071 0 819.158501871026 214.541512640912 0 467.521418347258 122.446085898084 0 279.425389156289 73.1828401010778 0 457.216370009286 119.747144663614 0 150.186470696575 39.334551894227 0
"308" "4" "14" "pub" 919.2056601585 240.7443398415 0 810.75306976817 212.340089944781 0 332.26423816782 87.0215862866398 0 191.724263757955 50.2134977084971 0 432.174907177531 113.188666295392 0 159.059937430117 41.6585550890113 0
"382" "5" "14" "pub" 871.5079243208 228.2520756792 0 480.937013863714 125.959694251663 0 151.188875903377 39.5970865915477 0 104.316764284103 27.3210573438455 0 276.057304095608 72.3007225841732 0 111.058460912669 29.0867397962098 0
"456" "6" "14" "pub" 373.5781131186 97.8418868814 0 663.443793670497 173.759089017797 0 189.970158428974 49.7540891694276 0 169.967098284458 44.5151924589015 0 504.261797421165 132.068566142765 0 230.138575881893 60.2743889905942 0
"530" "7" "14" "pub" 183.3656603337 48.0243396663 0 251.581136300242 65.8902976780327 0 233.263811545104 61.0929030938027 0 126.715338121776 33.1873504985372 0 416.209765098098 109.007319555506 0 202.807767402085 53.1163200948138 0
"604" "8" "14" "pub" 1105.8758487933 289.6341512067 0 341.148966501479 89.348538948125 0 386.698935178348 101.278292662895 0 244.477563110014 64.0298380308387 0 712.084376831366 186.498289384068 0 361.566967238193 94.6961105757799 0
"678" "9" "14" "pub" 184.6811320315 48.3688679685 0 231.966745259662 60.7531952567496 0 297.010470717332 77.788456705682 0 209.905094965299 54.9751439825499 0 476.527839248063 124.804910422429 0 286.658354569499 75.077188187663 0
"86" "10" "14" "pub" 0 0 0 94.8672169930418 24.8461759076332 0 521.815135929847 136.665869090789 0 300.601729060586 78.7290243680894 0 92.0666884172742 24.1127041369479 0 283.729567886449 74.3101250078889 0
"14" "1" "15" "pub" 197.0298483762 78.7701516238 0 55.3641824097386 22.1339308682614 0 134.778203013372 53.88269632465 0 237.137769443778 94.8048136298137 0 216.883719455022 86.7074892814536 0 234.692548569914 93.8272438830199 0
"162" "2" "15" "pub" 143.53603022388 57.38396977612 0 238.918952059393 95.5169089080571 0 226.280085414033 90.4640428057236 0 203.231387664231 81.2494520650531 0 155.772765352195 62.2760685590276 0 194.431213548965 77.7312488329633 0
"236" "3" "15" "pub" 416.02731037665 166.32268962335 0 915.715489360729 366.09198319781 0 656.996829846421 262.659390594191 0 405.164733642094 161.979962755021 0 261.395547202944 104.5027799425 0 400.931598631988 160.28760654941 0
"310" "4" "15" "pub" 493.1461360917 197.1538639083 0 755.46477962394 302.025686604582 0 535.186633327528 213.961146504809 0 258.516874813871 103.351921519619 0 153.227322910061 61.2584314407481 0 292.954917228983 117.119834579603 0
"384" "5" "15" "pub" 1237.98754477188 494.93245522812 0 856.913709250363 342.583742323569 0 658.43569020348 263.23462957156 0 243.653804574765 97.4098457073589 0 152.688720880476 61.0431048601062 0 371.31103559253 148.44566350865 0
"458" "6" "15" "pub" 530.27318910153 211.99681089847 0 551.514798933276 220.488949734132 0 531.295938005899 212.405693547136 0 172.788269974575 69.0786616184366 0 134.122528503299 53.6205655815167 0 387.85729788892 155.060659158473 0
"532" "7" "15" "pub" 157.75961354937 63.07038645063 0 133.560880110361 53.3960253433975 0 204.818043101497 81.8837777288964 0 82.4406227308992 32.9587644003782 0 62.315058880558 24.9128072569765 0 189.590751894948 75.7960907766667 0
"606" "8" "15" "pub" 439.7094694545 175.7905305455 0 359.422164807146 143.692636684956 0 271.761910634089 108.647126730503 0 224.263233276893 89.6577297016201 0 136.464735797666 54.5569517444873 0 420.462428626444 168.095796286553 0
"680" "9" "15" "pub" 526.8655300125 210.6344699875 0 886.073242526513 354.241371238026 0 406.343332670293 162.45115239923 0 508.704812135218 203.374034512469 0 327.079988188677 130.762625435005 0 816.271589993257 326.335514338933 0
