"vol" "age" "ownership" "step0.nomgmt" "step0.thin" "step0.finalfell" "step1.nomgmt" "step1.thin" "step1.finalfell" "step2.nomgmt" "step2.thin" "step2.finalfell" "step3.nomgmt" "step3.thin" "step3.finalfell" "step4.nomgmt" "step4.thin" "step4.finalfell" "step5.nomgmt" "step5.thin" "step5.finalfell"
"10" "1" "13" "pub" 0 0 0 42.1925 29.53475 12.65775 52.2482584362772 36.5737809053941 15.6744775308832 119.439749956447 83.6078249695128 35.831924986934 66.5126417343021 46.5588492140115 19.9537925202906 155.868048662114 109.10763406348 46.7604145986342
"78" "2" "13" "pub" 119.78 83.846 35.934 81.2134052239143 56.84938365674 24.3640215671743 49.314952137544 34.5204664962808 14.7944856412632 100.703091433004 70.4921640031031 30.2109274299013 46.1671580125964 32.3170106088175 13.8501474037789 95.3399767370698 66.7379837159489 28.601993021121
"112" "3" "13" "pub" 502.27 351.589 150.681 201.172342718034 140.820639902624 60.3517028154102 102.175275730867 71.5226930116071 30.6525827192602 189.259228586809 132.481460010766 56.7777685760427 83.0700080889848 58.1490056622894 24.9210024266955 155.619508990581 108.933656293407 46.6858526971743
"146" "4" "13" "pub" 97.14 67.998 29.142 139.238579000732 97.4670053005121 41.7715737002195 75.2782470807443 52.694772956521 22.5834741242233 119.814280681863 83.8699964773041 35.9442842045589 52.3405701950809 36.6383991365566 15.7021710585243 84.7594183181508 59.3315928227056 25.4278254954453
"180" "5" "13" "pub" 352.99 247.093 105.897 245.591717660894 171.914202362626 73.6775152982682 257.607271959876 180.325090371913 77.2821815879628 336.740851931043 235.71859635173 101.022255579313 157.168901072181 110.018230750527 47.1506703216543 207.243532132565 145.070472492796 62.1730596397696
"214" "6" "13" "pub" 202.43 141.701 60.729 56.781465272366 39.7470256906562 17.0344395817098 135.107656682812 94.5753596779681 40.5322970048435 164.590137720776 115.213096404543 49.3770413162328 83.8444875813286 58.69114130693 25.1533462743986 90.5661689853366 63.3963182897356 27.169850695601
"248" "7" "13" "pub" 196.855 137.7985 59.0565 70.809336724072 49.5665357068504 21.2428010172216 170.602424329681 119.421697030776 51.1807272989042 211.026805699213 147.718763989449 63.3080417097639 128.056334851864 89.6394343963046 38.4169004555591 109.05909496033 76.3413664722308 32.7177284880989
"282" "8" "13" "pub" 105.89 74.123 31.767 262.467382526448 183.727167768514 78.7402147579344 498.058104389235 348.640673072464 149.417431316771 675.721179946824 473.004825962777 202.716353984047 555.063988002568 388.544791601797 166.51919640077 421.756572994749 295.229601096325 126.526971898425
"316" "9" "13" "pub" 0 0 0 40.562964254155 28.3940749779085 12.1688892762465 266.622555658689 186.635788961082 79.9867666976066 478.995859923541 335.297101946479 143.698757977062 453.690823534527 317.583576474169 136.107247060358 369.984009890623 258.988806923436 110.995202967187
"44" "10" "13" "pub" 144.03 100.821 43.209 0 0 0 98.2640175961631 68.7848123173142 29.4792052788489 216.138333522298 151.296833465609 64.8415000566894 182.514871307773 127.760409915441 54.754461392332 158.550805152906 110.985563607034 47.5652415458717
"12" "1" "14" "pub" 0 0 0 41.923 29.3461 12.5769 64.28831682837 45.001821779859 19.286495048511 61.671252918976 43.1698770432832 18.5013758756928 136.769869464531 95.7389086251719 41.0309608393594 72.6942507785655 50.8859755449959 21.8082752335696
"80" "2" "14" "pub" 200.995 140.6965 60.2985 168.346071428571 117.84225 50.5038214285714 79.2978732594779 55.5085112816345 23.7893619778434 43.1563018389825 30.2094112872878 12.9468905516948 83.2801969442038 58.2961378609427 24.9840590832611 37.2557727410306 26.0790409187214 11.1767318223092
"114" "3" "14" "pub" 116.25 81.375 34.875 162.383095238095 113.668166666667 48.7149285714286 81.4923739735489 57.0446617814842 24.4477121920647 43.0741955168244 30.1519368617771 12.9222586550473 78.833616288367 55.1835314018569 23.6500848865101 34.8537103006692 24.3975972104684 10.4561130902007
"148" "4" "14" "pub" 149.875 104.9125 44.9625 239.265476190476 167.485833333333 71.7796428571428 143.996846677138 100.797792673996 43.1990540031414 88.1381120556995 61.6966784389897 26.4414336167099 141.83348602617 99.283440218319 42.550045807851 63.0969168293149 44.1678417805204 18.9290750487945
"182" "5" "14" "pub" 517.8 362.46 155.34 370.285857142857 259.2001 111.085757142857 253.795365019831 177.656755513882 76.1386095059494 267.378222052014 187.16475543641 80.2134666156042 352.95300167979 247.067101175853 105.885900503937 165.915307241558 116.140715069091 49.7745921724675
