"vol" "age" "ownership" "step0" "step1" "step2" "step3" "step4" "step5"
"404" "6" "23" "pub" 1327.87 690.491006200583 707.127425523448 742.086381322954 559.825161452276 658.413299548165
"466" "7" "23" "pub" 323.07 240.448603622634 237.99280486558 246.001470973326 219.042389386045 258.884826433403
"528" "8" "23" "pub" 456.86 752.482172811206 569.420063020097 699.160234515849 613.685197176995 736.862398783412
"590" "9" "23" "pub" 539.68 207.19500006543 296.22760798215 491.056149056284 643.126775293136 530.39172970804
"94" "10" "23" "pub" 200.04 0 241.805994793814 281.92213142227 507.970371565656 305.306052368895
"34" "1" "24" "pub" 0 188.01969689085 65.2759613956164 122.078437943226 323.40583858748 101.133111413422
"158" "2" "24" "pub" 0 0 92.7573955528257 95.0002600689587 157.040847931832 49.2790261828981
"220" "3" "24" "pub" 230.42 32.24848484526 286.234994888428 282.412915538393 334.396338915977 107.511371292352
"282" "4" "24" "pub" 1048.96 220.0557574899 584.223271676573 630.162934290448 554.944864772578 202.717749743954
"344" "5" "24" "pub" 728.28 128.087121186353 82.3869022379759 79.1764210754465 84.1202657203703 58.7466662445742
"406" "6" "24" "pub" 427.39 572.842999824163 349.614022822487 341.951105504671 361.717334787561 260.765770112034
"468" "7" "24" "pub" 232.5 926.342757115974 600.332088684987 579.688119552005 621.632714626211 500.780996810739
"530" "8" "24" "pub" 411.55 444.57730285515 515.502017349889 433.275248549848 540.441589693405 513.926218309148
"592" "9" "24" "pub" 605.91 383.7328483107 282.581143867421 311.74117619179 436.450629749118 515.761992380298
"96" "10" "24" "pub" 707.6 329.32363618974 65.9256818013286 284.768052837933 378.365605321201 604.850327002321
"36" "1" "25" "pub" 0 0 171.670157981727 83.7973722508459 136.245598087567 336.250769356627
"160" "2" "25" "pub" 0 20.0365217224333 2.80421607116402 45.0546507405655 45.2098752573576 63.2172572557148
"222" "3" "25" "pub" 596.74 209.639304219211 36.9834202551241 225.741728440757 229.848817217069 271.575632237795
"284" "4" "25" "pub" 1012.23 778.803651908724 153.219675785006 444.953087941534 468.121927178314 448.030665240035
"346" "5" "25" "pub" 684.31 642.865304203967 187.257654013758 233.470088233442 243.07293433038 228.15703575188
"408" "6" "25" "pub" 1496.53 580.400869444439 637.080562450679 397.912713807482 387.080743882839 411.437529495843
"470" "7" "25" "pub" 1241.96 253.650724549598 654.741619532889 468.282814536823 439.530168705449 486.216936694434
"532" "8" "25" "pub" 485.94 313.433014380858 394.052735001038 362.837098157607 327.466936203194 401.212800303354
"594" "9" "25" "pub" 188.39 363.836260749663 268.075398495108 231.128866580238 238.090099974734 314.309365525267
"98" "10" "25" "pub" 576.86 847.978260718687 438.890329088225 177.321712714147 370.78281584334 502.324034637542
"38" "1" "26" "pub" 244.4 0 5.8000457575388 155.314888940407 88.4597707569662 135.708107422738
"162" "2" "26" "pub" 0 172.74052619016 72.9178854961829 12.4177746153668 92.8533396995777 94.1370024705618
"224" "3" "26" "pub" 200.15 493.00456572387 265.075105743322 50.199311499159 199.967606554515 206.878297825486
"286" "4" "26" "pub" 638.46 863.83438913505 655.420693504721 143.376652827591 357.432168381655 374.242838397325
"348" "5" "26" "pub" 410.15 456.981381896352 318.70917298117 140.604771391841 151.552673405017 155.061412452777
"410" "6" "26" "pub" 641.43 1359.38764554717 621.481654447352 564.902881480815 406.962758377193 398.641532379715
"472" "7" "26" "pub" 323.07 963.744891341432 289.94636916528 501.111237298633 360.7223754366 339.067809622795
"534" "8" "26" "pub" 309.32 447.369718500378 172.406452296697 285.06703876904 228.479139573837 212.4671181665
"596" "9" "26" "pub" 400.17 333.91053950022 339.409845512247 311.313824823189 264.430547217276 264.809035221596
"100" "10" "26" "pub" 597.96 563.69034216537 868.412295803311 485.989810161205 252.589740660461 415.891771052724
"40" "1" "27" "pub" 252.61 164.97 38.866618392786 20.3215551229798 107.631549323232 80.6023466933572
"164" "2" "27" "pub" 461.36 80.7235714285714 120.760833220515 59.6052501451056 45.5245223444445 76.4541428061148
"226" "3" "27" "pub" 1163.78 216.094428571429 467.463007776992 277.91677295675 55.5237922518013 198.654883638642
"288" "4" "27" "pub" 825.03 635.966 886.625488122784 637.061531121104 158.679332592345 354.596025736834
"350" "5" "27" "pub" 391.58 383.704125 596.754482451716 330.461250107544 222.104511369431 186.392877611647
"412" "6" "27" "pub" 689.67 376.000875 821.754676837399 353.79068562736 357.912615961971 261.557132382718
"474" "7" "27" "pub" 447.36 283.437857142857 673.591096967136 250.015149458074 328.600351744551 239.597860848003
"536" "8" "27" "pub" 609.85 347.178942857143 628.275767401588 252.125670555117 379.338824716395 292.694084250897
"598" "9" "27" "pub" 707.7 332.0022 332.164710354989 314.191528036848 272.06636725449 203.784284428046
"102" "10" "27" "pub" 1162.38 568.521 522.940918474093 753.132175506157 457.88650506786 268.771469660528
"42" "1" "28" "pub" 0 365.757 172.690071428571 71.2082065196619 36.1709746542135 110.525751094242
"166" "2" "28" "pub" 0 208.65 37.7541571428571 70.8984674218022 39.7127273246961 14.657283694069
"228" "3" "28" "pub" 456.21 984.7662 267.776188571429 469.676205505423 294.146568515621 77.8654124654087
"290" "4" "28" "pub" 886.2 990.8028 624.869420357143 929.587818050398 624.522702949078 194.20618301775
"352" "5" "28" "pub" 564.17 147.283 114.3409125 201.526364174083 101.471318584245 80.2121638700833
"414" "6" "28" "pub" 299.75 842.576 539.313707142857 1098.18286354075 490.221593382328 473.752002840715
"476" "7" "28" "pub" 0 451.371 274.216397142857 592.637388400758 225.64679084138 310.961858461649
"538" "8" "28" "pub" 239.29 289.11 153.954012857143 238.307436773725 122.766430372062 154.611602503092
"600" "9" "28" "pub" 227.21 1062.444 523.711632857143 594.488538528946 537.220999846018 455.217374376144
"104" "10" "28" "pub" 509.7 697.428 341.1126 313.764551084456 451.879305303694 274.731903040716
"44" "1" "29" "pub" 154.45 0 391.7763 166.747311428571 85.3569260942364 44.467695386201
"168" "2" "29" "pub" 0 136.863 420.61986 102.985350857143 183.441942104708 112.071606949504
"230" "3" "29" "pub" 0 179.862 296.03352 116.04217975 186.894022906124 121.281583998032
"292" "4" "29" "pub" 212.86 710.2095 911.40033 436.696322482143 682.89334585348 445.140676668424
"354" "5" "29" "pub" 231.14 493.2945 433.04749 281.411516196429 459.228859230123 271.893931727442
"416" "6" "29" "pub" 692.16 385.534666666667 583.515566666667 379.073075 765.080970958158 339.647842377836
"478" "7" "29" "pub" 555.12 115.826833333333 463.647533333333 285.737195928571 585.404414100586 246.920998822361
"540" "8" "29" "pub" 0 247.6305 670.977 354.843918642857 534.868355659205 320.935159985266
"602" "9" "29" "pub" 228.31 173.5416 508.01688 249.936455828571 270.493493065623 274.737834899231
"106" "10" "29" "pub" 194.36 421.5144 757.13472 371.291863885714 368.587726027755 454.286139781704
"48" "1" "30" "pub" 0 139.005 28.813263186708 441.150219562236 171.753706803636 115.440589756002
"172" "2" "30" "pub" 0 0 132.229121061684 352.329170815877 95.4356218568841 165.824501747894
"234" "3" "30" "pub" 212.86 44.81263162376 273.52790537481 395.981075497972 171.944097154536 272.625530814113
"296" "4" "30" "pub" 188.39 65.1408070188267 197.84074472162 239.851478615554 120.111717345274 189.172250293095
"358" "5" "30" "pub" 196.71 231.97589477176 536.107745868426 620.176367516521 331.500332279389 537.576464462868
