"vol" "age" "ownership" "step0" "step1" "step2" "step3" "step4" "step5"
"269" "7" "8" "priv" 853.68 1488.91169253218 1839.71829409744 954.870339074995 1128.85302153373 649.637173226275
"303" "8" "8" "priv" 676.14 270.654476484762 304.05651003225 180.083156203631 219.233840254744 118.732363128074
"337" "9" "8" "priv" 1020.94 1582.904164517 1521.86702164234 1249.84218208451 1492.84970739325 761.701091117144
"65" "10" "8" "priv" 926.87 807.00785272607 174.998053975488 157.988736415047 212.117049753643 110.107543841842
"33" "1" "9" "priv" 196.49 186.042 273.856789183976 205.339683756043 113.205721487106 96.7525019742784
"101" "2" "9" "priv" 929.73 699.907578947368 836.376964587884 636.310301903675 348.254427954427 299.458258249344
"135" "3" "9" "priv" 1167.97 1152.31414979757 1002.60942141723 801.405904264431 420.86439071662 373.546482140739
"169" "4" "9" "priv" 2329.6 1432.26810202429 1185.79207610621 1024.06554082059 486.999186116644 465.167074067685
"203" "5" "9" "priv" 1007.49 1114.8841025641 857.644355079154 818.789825742001 346.357150991025 362.223466921165
"237" "6" "9" "priv" 1930.53 1087.42020606061 823.940024952544 937.483537197628 381.692221774608 429.188688269154
"271" "7" "9" "priv" 1542.41 1970.03222424242 1742.96412948722 2087.76043176207 914.106759132436 1055.80055142393
"305" "8" "9" "priv" 1623.29 1307.71113636364 1525.16726126518 1924.08509985256 945.187371981022 1122.41735667803
"339" "9" "9" "priv" 1086.71 691.2545 841.14998121347 726.253081549962 586.395790183809 704.644605149758
"67" "10" "9" "priv" 2942.43 1632.406 1655.17899670713 1099.77659315103 884.866979662303 1078.62101512592
"3" "1" "10" "priv" 209.14 341.0292 279.603018947368 365.044545011478 275.918282710508 151.504495601326
"71" "2" "10" "priv" 469.07 432.358 362.576054089069 423.937019471577 324.4152303766 176.462679679412
"105" "3" "10" "priv" 957.1 1752.94765714286 1427.15086908039 1337.08594830874 1070.71869649947 557.44919266266
"139" "4" "10" "priv" 997.19 1238.216 920.647852585309 759.337704238829 658.115040305894 312.40910485035
"173" "5" "10" "priv" 1439.47 1387.39023376623 1026.86209018025 833.029832935293 744.221684814916 342.813039268774
"207" "6" "10" "priv" 893.52 1231.14203636364 990.573894279297 775.504329825971 830.779874665569 348.335085082749
"241" "7" "10" "priv" 1898.59 1630.67676515152 1374.15680870029 1154.83123056365 1342.01896472207 577.799917461772
"275" "8" "10" "priv" 1343.68 1187.17144090909 1108.68508274408 1065.1507554063 1264.2817238819 593.123580099321
"309" "9" "10" "priv" 651.11 1622.73326666667 1419.80440848485 1478.46179166289 1667.92841091439 871.649935085022
"37" "10" "10" "priv" 1641 3932.9854 2364.17992090909 2552.29684257527 2082.87209110869 1496.38297020862
"5" "1" "11" "priv" 0 132.256 171.324133333333 141.544480194332 178.20645093337 135.228124953716
"73" "2" "11" "priv" 1004.11 644.101714285714 891.559045442177 733.60666329472 807.382382441849 626.420030950715
"107" "3" "11" "priv" 570.62 609.070952380952 927.368082176871 746.071498006995 706.889327324924 568.865247123142
"141" "4" "11" "priv" 623.03 822.025714285714 1144.35198100186 887.455844847833 778.36891268822 650.712245042305
"175" "5" "11" "priv" 1693.89 1122.94261904762 1317.39280417563 993.278825612346 828.772039985534 723.514771824073
"209" "6" "11" "priv" 497.12 917.732285714286 993.642562580087 770.837667098735 618.473934746516 615.203477979987
"243" "7" "11" "priv" 1330.06 1594.20571428571 1664.83679135065 1364.18514502168 1116.62815222788 1230.42286822461
"277" "8" "11" "priv" 686.5 1435.73166666667 1416.73046804906 1236.83216266277 1130.56551913921 1302.23076328963
"311" "9" "11" "priv" 937.74 1539.15933333333 2171.763478557 1783.5500184121 1776.01796694877 1936.34529395187
"39" "10" "11" "priv" 2533.45 1682.644 4057.68065333333 2616.87769484848 2803.37531356373 2472.32717665995
"7" "1" "12" "priv" 0 108.55243232388 107.760473552798 145.775502721898 120.114444303241 138.65941450786
"75" "2" "12" "priv" 216.58 459.714234109223 397.420818438269 552.448283813112 453.066647574921 499.213600024539
"109" "3" "12" "priv" 645.86 740.472252466497 661.714980767202 958.005170489885 771.228221995631 761.062697442419
