"vol" "age" "ownership" "step0" "step1" "step2" "step3" "step4" "step5" "step6" "step7" "step8" "step9" "step10" "step11" "step12" "step13" "step14" "step15" "step16" "step17" "step18" "step19" "step20"
"226" "3" "10" "pub" 929.18 289.89963844419 395.318451094862 205.395123336925 320.202462857096 425.552466433933 353.974916341891 51.0197984993588 768.04795581944 0 547.411509108467 573.394400426356 601.590877382186 622.49892706091 626.231643756942 625.453441058083 630.207565284057 640.615424073276 645.771594697505 647.471821099106 641.131197388968
"300" "4" "10" "pub" 653.42 462.070361681211 463.378457982552 373.783787690308 547.741311784547 764.292205300093 636.553178366366 90.7029889083526 1385.22873556423 0 976.381519676167 1022.72547571001 1073.01765729838 1110.30995564999 1116.96775428876 1115.57972586575 1124.05934121773 1142.62314707877 1151.81986586533 1154.8524466755 1143.543097656
"374" "5" "10" "pub" 1258.83 690.697131748496 818.957498053662 811.493881684503 1146.87789380343 1688.94849721924 1413.07578019773 200.132148686807 3081.20332744644 0 2157.87775448879 2260.30143802348 2371.45100167996 2453.86983018604 2468.58407383666 2465.51642497578 2484.25702275023 2525.28445198658 2545.60990313849 2552.31213841955 2527.3176130469
"448" "6" "10" "pub" 887.02 162.447165917072 411.004876628567 507.037601476454 671.32323563815 1071.80084163136 903.517398497511 127.06228393046 1975.46976750102 0 1372.53077856671 1437.67796209604 1508.37529276059 1560.79827113492 1570.15735195022 1568.20615593338 1580.12622286055 1606.22195941247 1619.15008160855 1623.41307759585 1607.51516340758
"522" "7" "10" "pub" 0 36.45140422874 142.376816873586 170.624749697896 214.168184872544 353.715882838023 299.433732712919 41.9892678448882 655.740032487114 0 453.858662367065 475.401067124268 498.778754844935 516.11361043711 519.20840435077 518.563196805664 522.504839292212 531.133990834666 535.40896982855 536.818626855324 531.561618283577
"596" "8" "10" "pub" 0 211.92263847376 279.24932086017 270.623417217453 284.179387110815 478.679504383735 407.390478393695 56.9583441533811 894.844424174696 0 615.899540022052 645.133216232465 676.857425348239 700.38133371629 704.58105998778 703.705494391704 709.05441905855 720.764431241768 726.565703343099 728.478649346709 721.34473425441
"670" "9" "10" "pub" 0 138.83438287749 108.858499435813 36.2692388942257 0 9.01961293741735 10.2189595191994 1.23782951118331 25.732169105697 0 13.6208781162527 14.2673931965169 14.968987462499 15.4892286185285 15.5821073364823 15.5627438340084 15.6810375592115 15.9400094179691 16.0683069974877 16.1106126052451 15.9528430638676
"78" "10" "10" "pub" 0 138.83438287749 233.269339187391 36.2692388942257 0 20.5685087949216 23.3035231338636 2.82277159386372 58.6801618024298 0 31.0613274951597 32.5356536338456 34.1355834679135 35.3219519814539 35.533754498962 35.4895975740806 35.7593569910431 36.3499216850552 36.6424940948698 36.7389686632654 36.3791877921892
"6" "1" "11" "pub" 211.06 214.253444444444 61.7659568553484 150.721403942314 48.9801139017956 77.9494131150429 110.638691889988 93.2859332507133 13.6012274345835 202.091402981478 0 145.411528203642 152.313487462476 159.803452024572 165.357356911396 166.348896238008 166.142178546088 167.405039223049 170.169728358527 171.539386536465 171.991025779037
"154" "2" "11" "pub" 767.93 631.600466269841 176.879550140318 411.057524593706 143.714915143896 229.017845576043 319.670633426107 268.750911212226 39.1059091972352 582.350309884332 0 418.347165915798 438.204017231986 459.752552524006 475.73106810576 478.583714469543 477.98899022981 481.622224758596 489.576201164414 493.516690780969 494.816051288904
"228" "3" "11" "pub" 210.05 1081.48358928571 348.033080995223 607.797861892952 274.332593997025 428.233765684103 585.823030725584 489.700259567213 70.7542127581264 1062.4112362081 0 758.538091197534 794.542107291684 833.613448417493 862.585349501181 867.757706586257 866.679365375055 873.267068146522 887.689047239152 894.833858333025 897.189830883501
"302" "4" "11" "pub" 383.2 699.975583333333 343.604201483757 394.071707828524 290.569024196623 428.889113769319 598.877175837016 499.207600489308 71.2316738800586 1086.09358456857 0 766.453459090505 802.833178180084 842.312229930674 871.586453677254 876.812784464742 875.723190730431 882.379636379296 896.952109259368 904.171476672811 906.552033868013
"376" "5" "11" "pub" 201.31 658.83 356.790371531523 422.644407054623 407.307489388667 576.20141154924 845.935192503475 707.681373033388 100.27798124208 1542.91611559776 0 1081.06677345329 1132.37961582988 1188.06400291015 1229.35469086479 1236.72632249411 1235.18947303671 1244.57825213991 1265.13242415237 1275.31519277773 1278.67291953272
"450" "6" "11" "pub" 0 508.993305555555 256.883784297019 321.772983273556 314.668521788828 441.335597038179 654.049129512325 547.703276938919 77.5474184646095 1194.53421989058 0 836.181134308538 875.870478016697 918.941114443084 950.878544339302 956.580337650196 955.391618734669 962.653630807439 978.551826266036 986.427971596408 989.025098652409
"524" "7" "11" "pub" 499.38 1178.45361111111 423.632048009923 703.596552275917 782.773233590582 1058.07507637267 1637.30465139238 1376.5418678738 194.094706548956 3006.88380893339 0 2095.15401508032 2194.6005158613 2302.51925874879 2382.54239217399 2396.82893208541 2393.85045157864 2412.04631025991 2451.88118177391 2471.61582638047 2478.1232455936
"598" "8" "11" "pub" 0 0 220.058699400159 292.397430125104 272.217479267157 283.837144151364 478.883327157029 407.875589961586 57.003790570018 896.33646743112 0 616.412875905353 645.670917607254 677.421568007441 700.965082927367 705.168309558989 704.292014202279 709.64539705555 721.36516922243 727.171276529739 729.085816922958
"672" "9" "11" "pub" 161.37 0 181.18737970055 233.079858102445 135.331430527113 116.710632744034 206.235998679778 178.378133400798 24.7265704987823 395.539737197898 0 267.626953556545 280.329868881293 294.11499598066 304.336844712775 306.161752631638 305.781292933441 308.105562266943 313.193916264727 315.714744221793 316.545977041428
"80" "10" "11" "pub" 250.21 0 100.65492758618 169.120270910858 26.2951981983136 0 14.9121688763182 16.8950542720511 2.04650940555119 42.5431173067616 0 22.5194624339908 23.5883488845381 24.7482980142373 25.6084151865541 25.7619720117475 25.7299582412085 25.9255338185063 26.353693221665 26.5658082187806 26.6357522808674
"8" "1" "12" "pub" 202.27 264.816565439373 244.912472484505 69.7638984822772 166.91447517356 55.8800621797659 88.9792604888587 125.423068591981 105.625112792098 15.387631886296 228.844823622435 0 164.552681862418 172.363176120863 180.83907738518 187.12406699519 188.246126967888 188.012198124597 189.441294660337 192.5699118847 194.11986414226
"156" "2" "12" "pub" 679.24 539.135230923784 598.596762827968 175.263508963351 378.369335130258 140.684192688811 222.762024960368 309.692379966079 260.014663936635 37.7655321422288 563.605157851197 0 404.230572217817 423.417379309998 444.238786651149 459.678127521702 462.434514957584 461.859858931857 465.370494576676 473.056074152414 476.863596952363
"230" "3" "12" "pub" 917.88 351.972294420093 759.02091483273 251.469462019602 441.832784689975 201.769994473212 313.236538260087 431.705416907418 361.114816708836 52.141489453837 783.622175801295 0 559.091945955463 585.629249294457 614.427370831941 635.781547692507 639.593911529511 638.799103868339 643.654669600128 654.284606908481 659.550797735696
"304" "4" "12" "pub" 208.75 239.048030292023 724.498698890256 289.079989539197 411.658871425922 245.42410185149 369.063380938752 514.083845398726 429.251433666906 61.5260480960795 933.022352573033 0 661.136268578906 692.517106443966 726.571402437868 751.823100142154 756.331288857616 755.391414521836 761.133208216017 773.703300019543 779.93066526477
"378" "5" "12" "pub" 0 181.711916133066 417.77056496224 213.00510268152 248.392709390558 208.013278085978 300.430297319831 430.413299207171 359.455966856792 51.1071165123504 782.90305145067 0 550.455599460907 576.58297854983 604.936252763383 625.960569621836 629.714043511851 628.931513320258 633.712074666113 644.177810321278 649.362653797633
"452" "6" "12" "pub" 859.1 265.842489450379 1064.37538743535 523.388773202624 662.7244267326 645.24427422872 904.901088572789 1341.63317181766 1123.57611055467 159.086953945077 2450.52104794095 0 1715.39263058091 1796.81375444526 1885.17146701354 1950.68984531201 1962.38684949603 1959.94823950608 1974.84597096844 2007.46049216517 2023.61809379329
